Make	Model	Year	BodyStyle	extLength	extWidth	extHeight	Weight	HorsePower	CityMPG	HWMPG	PassengerCap	PassengerVol	CargoVolRSD	CargoVolRSU	TurningDiameter
Honda	Fit LX	2015	Hatchback	160	67	60	2544	130	33	41	5	95.7	52.7	16.6	35.1
Ford	Focus TI	2014	Hatchback	171.6	71.8	57.7	2948	160	27	37	5	90.7	44.8	23.8	36
VW	GTI	2014	Hatchback	168	70.5	56.8	3086	200	24	32	5	93.5	52.7	22.8	35.8
VW	Tiguan	2014	SUV	174.5	71.2	65.6	3591	200	18	26	5	95.4	56.1	23.8	39
BMW	X3	2014	SUV	183.4	74.1	66.1	4150	240	21	28	5	90.1	63.3	27.6	41
BMW	320i	2014	Sedan	182.5	71.3	56.3	3295	180	24	36	5	96		13	37.1
Fiat	500 Turbo	2014	Compact	144.4	64.1	59.8	2477	135	28	34	4	75.6	30.1	9.5	30.6
Cadilac	CTS Wagon	2014	Wagon	192	72.5	58	4200	270	18	26	5	97	58	25.4	36.4
Acura	RDX Rw	2014	SUV	183.5	73.7	66.1	3717	251	20	28	5	103.5	61.3	26.1	39
Volvo	XC60	2014	SUV	182.8	74.4	67.4	4041	240	24	31	5	98.6	67.4	30.8	38.3
Honda	CRV LX	2014	SUV	178.3	71.6	64.7	3305	185	23	31	5	104.1	70.9	37.2	37
Subaru	Outback 	2015	Wagon	189.6	72.4	66.1	3595	174	25	33	5	108.1	73.3	35.5	36.1
Mazda	3 iSport 5dr	2014	Hatchback	175.6	70.7	57.3	2855	155	30	40	5	96.4	47.1	20.2	34.78
Mazda	CX5 Sp AWD	2015	SUV	179.3	72.4	65.7	3560	184	24	30	5	103.8	64.8	34.1	36.7
